gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName
09:05,09:05:00,53,57,-4,1,4,REGULAR,11,A. Toney,1,2pt,649,,"['2ndchance', 'pointsinthepaint']",layup,1,5,Au'diese,Toney,Au'Diese,Toney,A,T,A,T,A. Toney
09:07,09:07:00,51,57,-6,1,4,REGULAR,0,,1,rebound,647,646,['team'],offensive,0,,,,,,,,,,
09:08,09:08:00,51,57,-6,1,4,REGULAR,12,S. Teel,0,3pt,646,,[],jumpshot,1,2,Samage,Teel,Samage,Teel,S,T,S,T,S. Teel
09:16,09:16:00,51,57,-6,2,4,REGULAR,6,E. Akot,1,assist,732,644,[],,0,7,Emmanuel,Akot,Emmanuel,Akot,E,A,E,A,E. Akot
09:16,09:16:00,51,57,-6,2,4,REGULAR,9,D. Warren,1,2pt,644,,"['pointsinthepaint', 'fastbreak']",drivinglayup,1,3,Davion,Warren,Davion,Warren,D,W,D,W,D. Warren
09:18,09:18:00,51,55,-4,2,4,REGULAR,6,E. Akot,1,rebound,643,641,[],defensive,0,7,Emmanuel,Akot,Emmanuel,Akot,E,A,E,A,E. Akot
09:21,09:21:00,51,55,-4,2,4,REGULAR,6,E. Akot,1,block,642,641,[],,0,7,Emmanuel,Akot,Emmanuel,Akot,E,A,E,A,E. Akot
09:21,09:21:00,51,55,-4,1,4,REGULAR,2,A. Mohamed,0,2pt,641,,"['pointsinthepaint', 'blocked']",layup,1,7,Abdul,Mohamed,Abdul,Mohamed,A,M,A,M,A. Mohamed
09:37,09:37:00,51,55,-4,2,4,REGULAR,6,E. Akot,1,assist,640,639,[],,0,7,Emmanuel,Akot,Emmanuel,Akot,E,A,E,A,E. Akot
09:37,09:37:00,51,55,-4,2,4,REGULAR,3,T. Allen,1,3pt,639,,['2ndchance'],jumpshot,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
09:39,09:39:00,51,52,-1,2,4,REGULAR,6,E. Akot,1,rebound,638,637,[],offensive,0,7,Emmanuel,Akot,Emmanuel,Akot,E,A,E,A,E. Akot
09:41,09:41:00,51,52,-1,2,4,REGULAR,13,A. Chaney,0,3pt,637,,[],jumpshot,1,11,Armani,Chaney,Armani,Chaney,A,C,A,C,A. Chaney
10:00,10:00:00,51,52,-1,0,4,REGULAR,0,,1,period,635,,[],start,0,,,,,,,,,,
10:00,10:00:00,51,52,-1,2,4,REGULAR,11,M. Kraus,1,substitution,633,,[],out,0,5,Mason,Kraus,Mason,Kraus,M,K,M,K,M. Kraus
10:00,10:00:00,51,52,-1,2,4,REGULAR,13,A. Chaney,1,substitution,634,,[],in,0,11,Armani,Chaney,Armani,Chaney,A,C,A,C,A. Chaney
10:00,10:00:00,51,52,-1,1,4,REGULAR,11,A. Toney,1,substitution,632,,[],in,0,5,Au'diese,Toney,Au'Diese,Toney,A,T,A,T,A. Toney
10:00,10:00:00,51,52,-1,1,4,REGULAR,10,T. King,1,substitution,631,,[],in,0,0,Tre,King,Tre,King,T,K,T,K,T. King
10:00,10:00:00,51,52,-1,1,4,REGULAR,3,A. Rhooms,1,substitution,629,,[],out,0,12,Aaron,Rhooms,Aaron,Rhooms,A,R,A,R,A. Rhooms
10:00,10:00:00,51,52,-1,1,4,REGULAR,13,I. Jack,1,substitution,630,,[],out,0,14,Isaac,Jack,Isaac,Jack,I,J,I,J,I. Jack
00:00,00:00:00,51,52,-1,0,3,REGULAR,0,,1,period,628,,['confirmed'],end,0,,,,,,,,,,
00:00,00:00:10,51,52,-1,2,3,REGULAR,4,S. Hildebrandt,0,3pt,625,,[],jumpshot,1,15,Simon,Hildebrandt,Simon,Hildebrandt,S,H,S,H,S. Hildebrandt
00:22,00:22:80,51,52,-1,1,3,REGULAR,10,T. King,1,substitution,616,,[],out,0,0,Tre,King,Tre,King,T,K,T,K,T. King
00:22,00:22:80,51,52,-1,1,3,REGULAR,13,I. Jack,1,substitution,617,,[],in,0,14,Isaac,Jack,Isaac,Jack,I,J,I,J,I. Jack
00:22,00:22:80,51,52,-1,2,3,REGULAR,0,,1,rebound,614,613,['team'],defensive,0,,,,,,,,,,
00:25,00:25:80,51,52,-1,1,3,REGULAR,10,T. King,0,3pt,613,,['fromturnover'],jumpshot,1,0,Tre,King,Tre,King,T,K,T,K,T. King
00:34,00:34:30,51,52,-1,1,3,REGULAR,12,S. Teel,0,freethrow,609,,[],1of1,1,2,Samage,Teel,Samage,Teel,S,T,S,T,S. Teel
00:34,00:34:30,51,52,-1,2,3,REGULAR,2,J. Tilmon Jr.,1,substitution,607,,[],out,0,35,Jeremiah,Tilmon Jr.,Jeremiah,Tilmon Jr.,J,T,J,T,J. Tilmon Jr.
